latitude,longitude
12.90062,77.466769
12.90062,77.466769
12.900614,77.466758
12.900591,77.466721
12.900589,77.466717
12.900582,77.466706
12.900572,77.466688
12.900562,77.466672
12.900564,77.466676
12.900552,77.466654
12.900542,77.466638
12.900508,77.466581
12.900367,77.466615
12.900494,77.466557
12.900472,77.466521
12.900454,77.466491
12.900426,77.466444
12.900408,77.466413
12.900384,77.466373
12.900352,77.466319
12.900339,77.466297
12.900313,77.466254
12.900293,77.46622
12.90028,77.466198
12.900258,77.466161
12.900242,77.466135
12.900225,77.466107
12.900206,77.466074
12.900183,77.466035
12.900165,77.466005
12.900135,77.465961
12.90011,77.465924
12.90008,77.465881
12.900054,77.465842
12.900029,77.465807
12.899996,77.465758
12.899959,77.465705
12.899922,77.46565
12.899886,77.465597
12.899847,77.465541
12.89981,77.465487
12.899769,77.465427
12.899722,77.465358
12.899668,77.46528
12.899607,77.465191
12.899545,77.4651
12.899478,77.465002
12.89941,77.464903
12.899342,77.464803
12.89927,77.464698
12.899192,77.464585
12.899121,77.464481
12.899041,77.464365
12.898964,77.464252
12.89888,77.464128
12.898795,77.464004
12.898708,77.463876
12.898626,77.463756
12.898539,77.463628
12.898453,77.463503
12.898368,77.463369
12.898282,77.463231
12.898192,77.4631
12.898098,77.462961
12.898006,77.462826
12.897914,77.462691
12.897823,77.462557
12.897725,77.462414
12.897637,77.462285
12.897563,77.462176
12.897455,77.462018
12.897359,77.461889
12.897254,77.461753
12.897158,77.461642
12.897021,77.461546
12.896911,77.461434
12.896786,77.461308
12.896665,77.461201
12.896569,77.461063
12.896438,77.460985
12.896312,77.460856
12.896199,77.460769
12.896059,77.460661
12.895931,77.460562
12.895786,77.46045
12.895659,77.460353
12.895531,77.460254
12.895396,77.460151
12.895261,77.460046
12.89513,77.459945
12.894985,77.459833
12.894856,77.459734
12.894723,77.459631
12.894553,77.459552
12.894426,77.459453
12.89429,77.459347
12.894144,77.459235
12.894011,77.459134
12.893893,77.458992
12.893737,77.458931
12.893629,77.458789
12.893469,77.45873
12.893285,77.458592
12.893191,77.458451
12.89304,77.458335
12.892905,77.458214
12.892784,77.458096
12.892656,77.457962
12.892539,77.457831
12.892422,77.457688
12.89231,77.45754
12.892209,77.457382
12.892065,77.45723
12.891991,77.457033
12.89188,77.456854
12.891766,77.45667
12.891611,77.456502
12.891498,77.456315
12.891383,77.456131
12.891268,77.455948
12.891153,77.455766
12.891043,77.455589
12.890927,77.455417
12.890806,77.455247
12.890691,77.455086
12.890607,77.454906
12.890452,77.454765
12.890339,77.454619
12.890254,77.454435
12.890133,77.454279
12.890017,77.454129
12.889899,77.453978
