latitude,longitude
12.575948,77.0188
12.575948,77.0188
12.575984,77.018884
12.576027,77.018981
12.576068,77.019076
12.576114,77.019181
12.576162,77.01929
12.57622,77.019422
12.576155,77.019606
12.57621,77.019736
12.576264,77.019866
12.576318,77.019997
12.576376,77.02014
12.576437,77.020287
12.576504,77.02045
12.576578,77.020634
12.576654,77.020821
12.576731,77.021011
12.576811,77.021204
12.576891,77.021398
12.576973,77.021599
12.577059,77.021807
12.577151,77.02203
12.577241,77.022248
12.577327,77.022458
12.577422,77.022685
12.577513,77.022905
12.577605,77.023127
12.577698,77.023354
12.577789,77.023575
12.577885,77.023807
12.57798,77.02404
12.578072,77.024282
12.578157,77.024525
12.578245,77.024778
12.578336,77.02504
12.578421,77.025288
12.578511,77.025549
12.578602,77.02581
12.578697,77.026078
12.578788,77.026337
12.578882,77.026606
12.578973,77.026858
12.579003,77.027152
12.579103,77.027407
12.579206,77.027673
12.579307,77.027934
12.579408,77.028195
12.57952,77.02845
12.5797,77.028661
12.57981,77.028913
12.579923,77.029157
12.580037,77.029395
12.580141,77.029613
12.580237,77.029812
12.580268,77.030053
12.580365,77.030254
12.580452,77.030447
12.580537,77.030634
12.580619,77.030814
12.580685,77.030991
12.580748,77.031175
12.580803,77.031372
12.580843,77.031564
12.580879,77.031765
12.580909,77.031961
12.580952,77.032157
12.580995,77.032367
12.581039,77.032574
12.581087,77.032781
12.581228,77.032959
12.581194,77.033196
12.581253,77.033397
12.581314,77.033605
12.58137,77.0338
12.581426,77.033991
12.581491,77.0342
12.581553,77.034399
12.581693,77.034549
12.581682,77.034779
12.581759,77.034994
12.581831,77.035196
12.581911,77.035402
12.581996,77.035617
12.582084,77.035838
12.58217,77.036057
12.58233,77.036261
12.582418,77.036479
12.582512,77.036705
12.582614,77.036926
12.582728,77.037143
12.582871,77.037355
12.583027,77.037553
12.583185,77.037744
12.583359,77.037944
12.583538,77.038148
12.583649,77.038404
12.583821,77.038599
12.584002,77.038804
12.584183,77.03901
12.584364,77.039215
12.584549,77.039425
12.584726,77.039634
12.584915,77.039857
12.585171,77.040008
12.585358,77.040223
12.585546,77.040439
12.585736,77.040656
12.585924,77.040872
12.586108,77.041083
12.58622,77.041358
12.586399,77.041557
12.586639,77.041698
12.586809,77.041897
12.586918,77.042156
12.587147,77.042291
12.587318,77.042491
12.587485,77.042686
12.587653,77.042882
12.587817,77.043073
12.587988,77.043273
12.588161,77.043475
12.58825,77.04375
12.5885,77.043881
12.588673,77.044102
12.588836,77.044309
12.589005,77.044524
12.589176,77.044742
12.589348,77.044961
12.589521,77.045181
12.589694,77.045402
12.589872,77.045628
12.59005,77.045855
12.590229,77.046083
12.590409,77.046311
12.590586,77.04653
12.590695,77.046833
12.590881,77.047063
12.591063,77.04729
12.591251,77.047523
12.591512,77.047691
12.591696,77.047931
12.59188,77.04817
12.592062,77.048406
12.592245,77.048644
12.59243,77.048884
12.592612,77.049121
12.592802,77.049368
12.592988,77.04961
12.593177,77.049855
12.593351,77.050126
12.593554,77.050341
12.593749,77.05059
12.593934,77.050826
12.594123,77.051067
12.594291,77.051301
12.594384,77.051588
12.594535,77.051818
12.594676,77.052033
12.594793,77.05227
12.594919,77.05247
12.595053,77.052743
12.595043,77.053026
12.595119,77.053288
12.595307,77.053513
12.595389,77.053779
12.59535,77.054086
12.595429,77.054358
12.595504,77.054617
12.595582,77.054885
